software name,RP Name,overview,core features,tags,research area,research discipline,software type,software class,Software's Web Page,Software Documentation,Tutorials
GDK,,GDK is a software development kit designed for creating applications that use the GIMP Toolkit (GTK+). It provides a wide range of tools and libraries for developing graphical user interfaces (GUIs) for desktop applications.,"Development tools for creating GTK+ applications, Libraries for building GUIs with advanced features, Support for multi-platform development, Integration with other programming languages like C, C++, Python, etc.","GUI development, Software development kit, Cross-platform development",,,SDK,Development Kit,,,
Snakemake,Rockfish,Snakemake is a workflow management system and an agile bioinformatics pipeline creation tool. It enables the creation of reproducible and scalable data analysis workflows using a human-readable scripting language. Snakemake automates the execution and deployment of data analysis tasks in various computational environments.,"Workflow management, Pipeline creation, Reproducible data analysis","bioinformatics, workflow automation, data analysis",Workflow Management,Bioinformatics,Workflow Automation,Tool,,,
Imath,ACES,"Imath is a small, fast, and portable 2D and 3D vector, matrix, and math library designed to provide a good balance between performance and ease and simplicity of use. It is commonly used in computer graphics and visual effects applications.","2D and 3D vector operations, Matrix computations, Mathematical operations for computer graphics, Portable and efficient implementation","Math library, Computer graphics, Vector operations","Computer Graphics, Visual Effects","Computer Science, Digital Arts",Mathematics,Library,,,
NAMD3,Delta,NAMD (NAnoscale Molecular Dynamics) is a parallel molecular dynamics code designed for high-performance simulation of large biomolecular systems.,"High-performance simulation of biomolecular systems, Parallel computing capabilities, Support for a wide range of molecular dynamics algorithms, Scalability for large systems","molecular dynamics, biomolecular simulation, parallel computing, computational chemistry",Biophysics,Bioinformatics,Simulation software,Molecular Dynamics Software,,,
udunits2,Anvil,"UDUNITS-2 is a library and utility for handling units of physical quantities, offering capabilities for unit conversion and manipulation in scientific applications. It provides a flexible and robust system for managing units and performing conversions in a consistent and reliable manner.","Unit conversion and manipulation for physical quantities, Support for handling unit consistency and conversions in datasets, Extensive library of predefined units and conversions, Flexible API for integrating unit handling in scientific software","unit conversion, scientific computing, library",Measurement Standards,Physical Sciences,Unit Handling Tool,Library,https://www.unidata.ucar.edu/software/udunits/,https://docs.unidata.ucar.edu/udunits/current/,https://www.unidata.ucar.edu/software/udunits/#help
PyCairo,ACES,"PyCairo is a Python library that provides bindings for the Cairo graphics library. It enables developers to create 2D vector graphics and draw various shapes, text, and images on different surfaces, making it a powerful tool for generating high-quality visualizations and graphics.","2D vector graphics creation, Drawing shapes, text, and images, Cairo graphics library bindings, Surface rendering capabilities, Customizable visualizations","Vector graphics, Visualization library, Python bindings","2D Graphics, Visual Design","Computer Graphics, Data Visualization",Visualization,Graphics Library,,,
ncview,"Stampede-2, Anvil, Bridges-2, Rockfish",ncview is a visual browser for netCDF format files. It is designed to provide an easy and efficient way to view and analyze data stored in netCDF files.,"Visualize data stored in netCDF files, Intuitive and easy-to-use interface, Support for different color maps and plot types, Ability to animate data over time, Datasets exploration and analysis","data visualization, netCDF files, data analysis",Climate Science,Earth and Environmental Sciences,Tool,Data Visualization,,,
CuPy,ACES,"CuPy is an open-source library that provides GPU accelerated computing with Python, designed to be compatible with NumPy. It allows users to accelerate numerical and scientific computations by leveraging the power of NVIDIA CUDA for parallel processing on GPU devices.","GPU-accelerated computing with Python, NumPy compatibility, Utilizes NVIDIA CUDA for parallel processing","GPU computing, Array manipulation",,,Library,Computational Library,,,
vim,Rockfish,"Vim is a highly configurable text editor that is popular for its efficiency and extensibility. It provides a modal editing interface that allows users to navigate and edit text quickly using keyboard shortcuts and powerful features. Vim is widely used for programming, editing configuration files, and various text editing tasks.","Modal editing with normal, insert, visual, and command modes, Extensive customizability through plugins and configuration settings, Syntax highlighting and code completion for various programming languages, Efficient movement and editing commands for text manipulation","text editor, programming tool, productivity software",,,Text Editing Tool,Text Editor,https://www.vim.org/,https://vimhelp.org/,"https://www.tutorialspoint.com/vim/index.htm,https://www.openvim.com/,https://learnvimscriptthehardway.stevelosh.com/,https://www.youtube.com/watch?v=ER5JYFKkYDg"
Netlib,,"Netlib is a repository of software, documents, and databases focused on mathematical software and related documents, with a focus on numerical linear algebra, optimization, differential equations, and other areas of mathematics. It serves as a valuable resource for researchers, educators, and students in computational mathematics.","Extensive collection of mathematical software libraries, Wide range of documents and databases, Focus on numerical linear algebra, optimization, and differential equations, Valuable resource for researchers, educators, and students","mathematical software, numerical linear algebra, optimization, differential equations, computational mathematics",Computational Mathematics,Mathematics,Repository,Mathematical Software Repository,,,
CPE,OOKAMI,"CPE (Coarse-grained Parallel Environment) is a software tool used for parallelizing loop computations for high-performance computing (HPC) applications. It aims to provide an efficient, user-friendly environment for developing parallel programs.","1. Automatic parallelization of loop computations
2. Supports parallel programming using OpenMP directives
3. Provides optimization features for improving performance
4. Includes debugging and profiling tools
5. Allows for scalability on large HPC systems","parallel computing, high-performance computing, loop parallelization",Parallel Computing,Computer Science,Parallelization Tool,Development Tools,,,
PyTorch,"OOKAMI, ACES, Rockfish","PyTorch is an open-source machine learning library developed by Facebook AI. It enables developers to create and train neural networks using dynamic computational graphs. PyTorch offers flexibility, scalability, and ease of use for deep learning research and applications.","Neural network creation and training, Dynamic computational graphs, Deep learning capabilities, Research-oriented library, Scalability and flexibility","Machine learning, Neural networks, Deep learning","Deep Learning, Neural Network Research","Artificial Intelligence, Machine Learning",Deep Learning,Machine Learning Library,,,
RStudio,"Stampede-2, Rockfish","RStudio is an integrated development environment (IDE) for the R programming language. It provides a user-friendly interface for writing R code, visualizing data, and managing R projects.","Code editing and execution, Interactive data visualization, Integration with R packages and tools","Data Science, R Programming, IDE",Data Analysis,Statistics,IDE,Development Environment,,,
CoinUtils,Rockfish,"CoinUtils is a collection of utilities that are part of the Coin-OR project, which focuses on open-source optimization software. CoinUtils provides fundamental utilities and common data structures used in mathematical optimization algorithms.","Common data structures for optimization, Linear algebra utilities, Integer and floating-point arithmetic tools, Network-related functions, Mathematical optimization support","optimization software, mathematical optimization, linear algebra utilities, open-source",Optimization Algorithms,Operations Research,Open Source,Optimization Libraries,https://github.com/coin-or/CoinUtils,https://coin-or.github.io/CoinUtils/Doxygen/index.html,"https://coin-or.github.io/user_introduction.html, http://www.coin-or.org/Doxygen/Coin/all.html"
ROCm,Anvil,"ROCm, the Radeon Open Compute platform, is a versatile open-source software foundation for high-performance computing and machine learning. It includes a comprehensive solution for accelerating compute beyond graphics, enabling machine learning and high-performance computing on AMD GPUs.","Open-source software platform, Support for AMD GPUs, Focused on high-performance computing and machine learning, Heterogeneous computing support","GPU computing, HPC, Machine learning, Open source","High-performance computing, Machine learning",Computer Science,Framework,Development Tools,https://github.com/ROCm/ROCm,https://rocmdocs.amd.com/en/latest/index.html,https://rocm.docs.amd.com/projects/install-on-linux/en/latest/tutorial/quick-start.html
libaio,,"libaio, or Linux Asynchronous I/O Library, is a Linux system library that enables applications to perform asynchronous I/O operations for improved performance and responsiveness. It allows programs to initiate read and write operations without blocking, enhancing throughput and scalability on I/O-bound tasks.","Support for asynchronous I/O operations, Non-blocking read and write functions, Enhanced I/O performance and scalability","Asynchronous I/O, Linux Library, Performance Optimization",I/O Processing,Operating Systems,Asynchronous I/O Tool,System Library,,,
oneTBB,Rockfish,"oneTBB, or oneAPI Threading Building Blocks, is an open-source, high-level C++ template library for creating reliable, portable, and scalable parallel applications.","Thread management, Task scheduling, Parallel algorithms","Parallel Programming, C++ Library, Thread Management",Parallel Computing,Computer Science,Parallel Processing Tool,Library,,,
SuperLU,Stampede-2,"SuperLU is a high-performance library for the direct solution of large, sparse, nonsymmetric systems of linear equations. It utilizes direct methods such as supernodal LU factorization to efficiently solve large-scale sparse linear systems.","Sparse linear system solution, Supernodal LU factorization, Scalable performance for large problems","Linear Algebra, Sparse Solvers, High Performance",Numerical Computing,Computer Science,Library,Linear Solver,,,
FreeType,"ACES, Rockfish","FreeType is a popular font rendering library that is used to render text onto screens. It is highly versatile and supports various font formats and rendering techniques, making it a standard tool for font handling in software applications.","Font rendering engine, Support for TrueType and OpenType fonts, Anti-aliasing and hinting algorithms, Scalable font capabilities, Cross-platform compatibility","font rendering, text rendering, scalable fonts, font handling",Font Rendering,Computer Science,Open Source,Font Library,,,
MDAnalysis,Rockfish,"MDAnalysis is an open-source Python library for the structural analysis of molecular dynamics trajectories. It provides a flexible and powerful framework for the systematic analysis of simulation trajectories, including support for a wide range of commonly used file formats.","Reading and writing trajectory data in various formats, Selection language for atom groups, Calculation of structural properties like RMSD, RDF, and contacts, Integration with other scientific Python libraries like NumPy and Matplotlib","molecular dynamics, trajectory analysis, Python library, structural analysis",molecular dynamics simulations,biophysics,analysis tool,computational chemistry,,,
bioperl,"Stampede-2, Rockfish",Bioperl is a Perl library that provides a comprehensive set of modules for bioinformatics programming. It simplifies the development of bioinformatics tools and pipelines by offering reusable components.,"Bioinformatics data processing and manipulation, Sequence analysis and parsing, Database integration (e.g., GenBank, SwissProt), Structural bioinformatics tools, Sequence alignment algorithms","bioinformatics programming, sequence analysis, data parsing, molecular biology",Sequence Analysis,Bioinformatics,Open Source,Bioinformatics Libraries,https://bioperl.org/,,
ScaLAPACK,"OOKAMI, DARWIN, ACES",ScaLAPACK (Scalable LAPACK) is a parallel version of LAPACK (Linear Algebra PACKage) designed for distributed memory parallel computers. It provides a collection of routines for solving linear algebra problems efficiently on large-scale parallel systems.,"Parallel linear algebra operations, Scalable distributed memory computations, High-performance matrix factorizations","High-Performance Computing, Linear Algebra, Parallel Computing",Numerical Computing,Computer Science,Library,Linear Algebra Library,,,
bzip2,"Anvil, ACES, Rockfish",bzip2 is a free and open-source data compression utility that uses the Burrows-Wheeler algorithm and Huffman coding. It is known for its high compression ratio and reliability in reducing file sizes.,"High compression ratio, Fast compression and decompression, Support for multiple threads, Data integrity checks, Low memory usage","data compression, file archiving, open source software, data storage",Data Compression,Computer Science,Open Source,Compression Utilities,https://sourceware.org/bzip2/,,https://www.tutorialspoint.com/unix_commands/bzip2.htm
Fluent,Bridges-2,Fluent is a computational fluid dynamics software developed by Ansys that enables engineers and scientists to perform simulations on complex fluid flow and heat transfer phenomena.,"Multiphase flow modeling, Turbulence modeling, Heat transfer simulations, Chemical reactions modeling, Fluid-structure interaction, Automated meshing, Post-processing and visualization tools","CFD, Engineering, Simulation, Fluid Dynamics",Computational Fluid Dynamics,Engineering,Simulation Software,Computational Modeling,,,
PyYAML,ACES,"PyYAML is a Python library for parsing and emitting YAML (YAML Ain't Markup Language) data. It provides convenient tools for serializing and deserializing YAML documents, making it easy to work with YAML-formatted data in Python applications.","YAML data parsing, YAML data serialization, Handling YAML documents, YAML data manipulation, Python library for YAML processing","YAML parsing, YAML serialization, Python library","YAML Handling, Data Serialization","Computer Science, Data Processing",Data Processing,Library,,,
libpng,"OOKAMI, ACES, Rockfish","libpng is a library for reading and writing PNG (Portable Network Graphics) image files. It provides functions for PNG image manipulation, compression, and decompression, making it a popular choice for handling PNG images in software applications.","Reading and writing PNG files, PNG image manipulation, Compression and decompression, Support for various PNG formats","PNG image, image manipulation, file format",Image Processing,Computer Graphics,Image Manipulation,Library,,,
CESM,Rockfish,"CESM (Community Earth System Model) is a fully-coupled, global climate model developed at the National Center for Atmospheric Research (NCAR). It simulates Earth's climate system by modeling interactions between the atmosphere, ocean, land surface, and sea ice components.","Global climate modeling, Fully-coupled Earth system model, Simulates atmosphere, ocean, land, and sea ice interactions","Climate modeling, Earth system model",Earth System Modeling,Climate Science,Model,Climate Modeling,https://www.cesm.ucar.edu/models/cesm2,https://esmci.github.io/cime/versions/master/html/index.html,https://www.cesm.ucar.edu/events/tutorials
pybind11,"Stampede-2, ACES","Pybind11 is a C++ header-only library that facilitates seamless interoperability between C++11 and Python. It simplifies the process of exposing C++ classes, functions, and objects to Python modules, enabling C++ and Python code integration and extension.","C++ and Python interoperability, Python extensions, C++ library bindings","C++, Python, library bindings",Software Development,Computer Science,Interoperability,Library,,,
help2man,ACES,"help2man is a tool used to generate man pages (manual pages) for Unix/Linux commands from the help output of the command-line tools. It automates the creation of man pages, which provide documentation and usage instructions for Unix commands.","Auto-generation of man pages from command-line tool help output, Formatting of documentation for consistent man page structure, Enhanced usability and accessibility for command documentation","Man Pages, Documentation, Unix/Linux Commands",Documentation,Computer Science,Man Page Generator,Documentation Tool,,,
Spark,Bridges-2,"Apache Spark is an open-source, distributed computing system designed for big data processing and analytics. It provides an easy-to-use programming interface for scalable data processing, machine learning, and real-time analytics across clustered environments.","Distributed data processing, In-memory computing, Stream processing and machine learning libraries","Big Data, Distributed Computing, Open Source",Big Data Analytics,Computer Science,Framework,Data Processing Framework,,,
nco,"Stampede-2, ACES, Rockfish","NCO is a suite of command-line tools used to manipulate and analyze netCDF and HDF4 files. It provides a robust set of operations for data extraction, transformation, and visualization in various scientific fields.","Manipulation of netCDF and HDF4 files, Data extraction and transformation, Statistical analysis and visualization, Support for large datasets","data manipulation, netCDF, HDF4, data analysis",,,Command-line Interface,Data Processing,,,
Java,"Jetstream2, DARWIN, ACES, Bridges-2, Rockfish, Rockfish","Java is a widely-used programming language and computing platform developed by Sun Microsystems, now owned by Oracle. It is designed to have minimal implementation dependencies and is class-based, object-oriented, and concurrent.","Platform independence, Object-oriented programming, Concurrent programming, Rich standard library, Automated memory management","Programming language, Platform independence, Object-oriented","Programming Languages, Concurrency","Computer Science, Software Engineering",Development,Programming Language,,,
RstatsPackages,Stampede-2,"RstatsPackages refer to the collection of packages or libraries available in R that extend its functionality for various statistical and data analysis tasks. These packages provide additional functions, algorithms, and tools for specific domains or analysis techniques.","Additional functions for data analysis, Specialized algorithms and methods, Integration with R environment","Statistics, Data Analysis, R Programming",Data Science,Statistics,Library,Statistical Packages,,,
elpa,"OOKAMI, ACES",ELPA (Eigenvalue soLvers for Petaflop Applications) is a highly efficient and high-performing library for the solution of dense and banded eigenvalue problems in electronic structure theory for quantum mechanical calculations in computational physics and chemistry. It provides scalable algorithms for parallel eigenvalue problem computations on modern high-performance computing systems.,"Efficient solution of dense and banded eigenvalue problems, Scalable algorithms for parallel computations, High performance on modern high-performance computing systems","eigenvalue solver, quantum mechanics, computational physics, computational chemistry, high-performance computing",Electronic Structure Theory,Quantum Physics,Computational Physics/Chemistry Tool,Numerical Library,,,
bazel,"ACES, Rockfish","Bazel is Google's in-house build system that supports software builds and tests for multiple programming languages. It emphasizes correctness, reproducibility, and speed.","Scalable build system, Cross-language support, Built-in support for various languages and platforms, Distributed builds, Caching and incremental builds, Extensible with custom rules","build system, software development, continuous integration, automation",Software Engineering,Computer Science,Open Source,Build Tools,https://bazel.build/,https://bazel.build/about/intro,
aspect,Stampede-2,"Aspect is a simulation software used in the field of computational geodynamics for modeling and studying the complex behavior of the Earth's mantle. It allows researchers to simulate scenarios of continental drift, plate tectonics, and mantle convection to gain insights into the Earth's dynamic processes.","Geodynamics simulation, Continental drift modeling, Plate tectonics simulation","Geophysics, Earth science, Computational modeling",Computational geodynamics,Geophysics,Geodynamics modeling tool,Simulation software,https://aspect.geodynamics.org/,,
harfbuzz,"ACES, Rockfish","HarfBuzz is an open-source text shaping engine that converts Unicode text into beautifully formatted, complex scripts. It is used for accurate rendering of text in various languages, supporting features like ligatures, kerning, and more.","Text shaping engine for complex scripts, Support for ligatures, kerning, and text layout features, Accurate rendering of text in multiple languages","Text Rendering, Unicode, Language Support",Text Layout,Typography,Text Shaping Tool,Text Engine,,,
PyCUDA,ACES,"PyCUDA is a Python library that provides GPU computing capabilities using CUDA, NVIDIA's parallel computing platform. It allows Python developers to write high-performance code for parallel processing on NVIDIA GPUs, leveraging CUDA's advanced features for scientific computing and data processing.","GPU computing with CUDA, Python bindings for CUDA, Parallel processing on NVIDIA GPUs, High-performance scientific computing, Integration of Python with GPU programming","GPU computing, CUDA integration, High-performance computing","GPU Programming, Parallel Computing","Computer Science, High-Performance Computing",GPU Computing,Library,,,
sionlib,KyRIC,"Sionlib is a C++ library for reading and writing data in the Structured Information Files (SIF) format. It provides functions for easily handling SIF files, a simple and versatile format for representing graphs and matrices.","Reading and writing data in the Structured Information Files (SIF) format, Handling graphs and matrices, Simplicity and versatility in data representation","data handling, file format, C++ library",Data Structures,Computer Science,Data Management,Library,"https://www.fz-juelich.de/en/ias/jsc/services/user-support/software-tools/sionlib?expand=translations,fzjsettings,nearest-institut",https://apps.fz-juelich.de/jsc/sionlib/docu/index.html,https://apps.fz-juelich.de/jsc/sionlib/docu/examples.html
jbigkit,ACES,"jbigkit is an open-source implementation of the JBIG1 data compression standard, particularly useful for bi-level image compression tasks. It provides efficient encoding and decoding algorithms for reducing the size of black-and-white scanned images while retaining quality.","Implementation of the JBIG1 data compression standard, Specifically designed for bi-level image compression, Efficient encoding and decoding algorithms","JBIG1 Standard, Image Compression, Open-Source Library",Data Compression,Computer Science,Image Compression Tool,Compression Library,,,
Qt 5,,"Qt 5 is the latest version of the Qt framework, offering a modern and cross-platform C++ framework for developing GUI applications, embedded systems, and software solutions. It comes with enhanced features, tools, and libraries for creating visually engaging and responsive applications across different platforms.","Cross-platform GUI development, Modern UI design, C++ framework","GUI development, cross-platform, C++ framework",GUI Development,Computer Science,Development,Framework,,,
GraphicsMagick,ACES,"GraphicsMagick is a robust collection of tools and libraries to read, write, and manipulate images in over 88 major formats including popular formats like JPEG, PNG, WebP, TIFF, GIF, SVG, HEIC etc.","Image transformation, Image editing, Image processing, Batch processing","image-processing, graphics, media",,,Tool,Image Processing,,,
